id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
641,"Residential Street, Chennai",Chennai,13.137795,80.258593,Residential Street,3,8,2,3,66,1,Abduction,51.41,Medium,49.9,"13.140034,80.260906 -> 13.138217,80.260284 -> 13.137701,80.259178 -> 13.140707,80.260156 -> 13.137372,80.261974",True,call my father,Relative,Notify selected relative
642,"Industrial Road, Vijayawada",Vijayawada,16.42343,80.719823,Industrial Road,6,7,7,10,2,5,None,20.32,Low,86.45,"16.421862,80.719721 -> 16.423064,80.722339 -> 16.420785,80.720475 -> 16.421984,80.720561",True,help,Help,Trigger emergency alert and share location
643,"College Road, Bengaluru",Bengaluru,12.969333,77.597853,College Road,7,10,5,10,82,6,Stalking,28.95,Low,83.4,"12.968058,77.598571 -> 12.971692,77.596357 -> 12.967161,77.599387 -> 12.969252,77.599929 -> 12.967069,77.593404 -> 12.968,77.595937",True,dad,Relative,Notify selected relative
644,"Industrial Road, Mumbai",Mumbai,19.073242,72.85541,Industrial Road,5,10,2,4,21,5,Harassment,33.34,Medium,78.16,"19.072522,72.855786 -> 19.073636,72.855897 -> 19.073182,72.856687 -> 19.071253,72.858909",True,call my sister,Relative,Notify selected relative
645,"Main Road, Chennai",Chennai,13.074421,80.224796,Main Road,3,6,4,7,21,10,None,32.43,Medium,77.81,"13.072293,80.226459 -> 13.079945,80.22283 -> 13.075252,80.220407 -> 13.075556,80.222582",True,mom,Relative,Notify selected relative
646,"Market Road, Vijayawada",Vijayawada,16.484331,80.609455,Market Road,3,4,1,0,40,10,None,48.64,Medium,57.92,"16.486849,80.609513 -> 16.48217,80.613429 -> 16.482455,80.60405 -> 16.485477,80.606693",True,call my sister,Relative,Notify selected relative
647,"Bus Stop Area, Vijayawada",Vijayawada,16.540801,80.63466,Bus Stop Area,9,1,10,5,44,3,Theft,32.0,Medium,86.72,"16.544305,80.631638 -> 16.539386,80.634471 -> 16.544645,80.633014 -> 16.539315,80.635855 -> 16.539358,80.635041",True,call my sister,Relative,Notify selected relative
648,"Railway Station Road, Vijayawada",Vijayawada,16.451896,80.725502,Railway Station Road,2,1,6,7,98,3,None,56.95,Medium,45.81,"16.451092,80.725421 -> 16.456678,80.72219 -> 16.456855,80.727395 -> 16.452939,80.72304 -> 16.453324,80.723693 -> 16.455063,80.723074",True,call my mother,Relative,Notify selected relative
649,"Railway Station Road, Pune",Pune,18.516439,73.837265,Railway Station Road,8,5,9,10,18,10,Stalking,14.68,Low,98.28,"18.518292,73.838604 -> 18.519462,73.832815 -> 18.519099,73.843529 -> 18.51531,73.842003 -> 18.515781,73.833834 -> 18.515675,73.839886",True,call my mother,Relative,Notify selected relative
650,"Main Road, Mumbai",Mumbai,19.046664,72.856688,Main Road,3,9,1,4,3,7,Harassment,35.02,Medium,73.64,"19.046672,72.85815 -> 19.047259,72.857887 -> 19.045583,72.857267 -> 19.044346,72.859909 -> 19.045078,72.85951 -> 19.04608,72.857193 -> 19.045427,72.854148",True,save me,Help,Trigger emergency alert and share location
651,"College Road, Hyderabad",Hyderabad,17.323933,78.449764,College Road,1,10,10,3,74,9,None,35.41,Medium,70.87,"17.324463,78.45229 -> 17.322819,78.447559 -> 17.320326,78.450964 -> 17.327391,78.45293",True,call police,Emergency,Trigger emergency alert and share location
652,"Industrial Road, Hyderabad",Hyderabad,17.409848,78.509049,Industrial Road,2,9,6,3,62,6,Theft,41.23,Medium,73.96,"17.410678,78.510664 -> 17.409046,78.505644 -> 17.408138,78.509026 -> 17.41,78.513865 -> 17.410051,78.511996 -> 17.40876,78.50827 -> 17.406525,78.507193",True,dad,Relative,Notify selected relative
653,"College Road, Visakhapatnam",Visakhapatnam,17.705244,83.218765,College Road,7,3,6,5,49,6,None,36.43,Medium,80.38,"17.705697,83.217884 -> 17.710615,83.21853 -> 17.708152,83.217762",True,call police,Emergency,Trigger emergency alert and share location
654,"Industrial Road, Chennai",Chennai,13.107536,80.303181,Industrial Road,9,2,3,7,94,7,None,42.68,Medium,71.96,"13.10165,80.303227 -> 13.110612,80.3045 -> 13.108651,80.298875 -> 13.105735,80.304209 -> 13.108562,80.306218 -> 13.107174,80.304196",True,call police,Emergency,Trigger emergency alert and share location
655,"Park Road, Delhi",Delhi,28.614473,77.174457,Park Road,3,10,9,1,18,4,Abduction,30.59,Medium,65.73,"28.615551,77.174892 -> 28.612928,77.170409 -> 28.616047,77.173792 -> 28.615865,77.179117 -> 28.609119,77.172708",True,call my sister,Relative,Notify selected relative
656,"Residential Street, Pune",Pune,18.513072,73.907619,Residential Street,10,7,1,0,52,5,Theft,38.27,Medium,62.05,"18.517912,73.907959 -> 18.512832,73.907124 -> 18.511981,73.910239 -> 18.510401,73.908483 -> 18.512112,73.905714 -> 18.519537,73.908667",True,help me,Help,Trigger emergency alert and share location
657,"Bus Stop Area, Vijayawada",Vijayawada,16.527664,80.687822,Bus Stop Area,3,7,4,8,62,1,None,44.86,Medium,58.03,"16.532045,80.68155 -> 16.525742,80.686674 -> 16.529118,80.688369 -> 16.527247,80.687792 -> 16.525219,80.684079",True,dad,Relative,Notify selected relative
658,"Bus Stop Area, Mumbai",Mumbai,19.101428,72.90198,Bus Stop Area,1,1,2,4,38,8,Harassment,52.86,Medium,59.66,"19.099453,72.903712 -> 19.100719,72.904956 -> 19.103983,72.902508",True,call police,Emergency,Trigger emergency alert and share location
659,"Bus Stop Area, Mumbai",Mumbai,19.064116,72.911333,Bus Stop Area,1,2,4,7,8,10,Harassment,39.45,Medium,71.48,"19.062405,72.908014 -> 19.063395,72.915122 -> 19.066982,72.908552 -> 19.061197,72.91452 -> 19.061277,72.912606",True,dad,Relative,Notify selected relative
660,"Railway Station Road, Delhi",Delhi,28.592338,77.265597,Railway Station Road,8,2,5,8,93,10,None,37.98,Medium,72.67,"28.595196,77.266059 -> 28.592968,77.260671 -> 28.586831,77.265046",True,call police,Emergency,Trigger emergency alert and share location
661,"Market Road, Visakhapatnam",Visakhapatnam,17.695442,83.179118,Market Road,6,8,2,5,20,1,Harassment,36.82,Medium,67.04,"17.696846,83.180525 -> 17.695098,83.181069 -> 17.692506,83.178228 -> 17.699562,83.179289 -> 17.695758,83.184883",True,call my mother,Relative,Notify selected relative
662,"Main Road, Pune",Pune,18.471423,73.884575,Main Road,5,5,8,10,9,9,Assault,20.98,Low,100.0,"18.470611,73.886724 -> 18.468968,73.882858 -> 18.472385,73.886571 -> 18.474225,73.888499",True,help me,Help,Trigger emergency alert and share location
663,"College Road, Vijayawada",Vijayawada,16.503839,80.689776,College Road,6,5,4,10,89,6,Theft,40.07,Medium,72.02,"16.506094,80.690295 -> 16.504953,80.690835 -> 16.499827,80.686966",True,mom,Relative,Notify selected relative
664,"Main Road, Vijayawada",Vijayawada,16.509789,80.588945,Main Road,3,9,4,5,99,8,Sexual Harassment,44.39,Medium,67.67,"16.511968,80.589763 -> 16.506986,80.592395 -> 16.514882,80.589313 -> 16.511065,80.589449 -> 16.511115,80.588646 -> 16.509703,80.591209",True,call my mother,Relative,Notify selected relative
665,"Residential Street, Vijayawada",Vijayawada,16.588297,80.598998,Residential Street,4,3,8,3,24,9,Sexual Harassment,34.27,Medium,74.51,"16.585346,80.602978 -> 16.586828,80.59539 -> 16.589892,80.603359 -> 16.589956,80.59951 -> 16.58932,80.602535 -> 16.586112,80.598718 -> 16.587165,80.596078",True,mom,Relative,Notify selected relative
666,"Park Road, Hyderabad",Hyderabad,17.373507,78.52547,Park Road,8,2,1,2,2,8,Stalking,36.23,Medium,74.91,"17.375118,78.525836 -> 17.374815,78.523469 -> 17.372733,78.52595 -> 17.374201,78.52627 -> 17.373161,78.524526",True,call police,Emergency,Trigger emergency alert and share location
667,"Industrial Road, Vijayawada",Vijayawada,16.616722,80.679738,Industrial Road,10,9,5,2,90,5,None,34.32,Medium,79.65,"16.616139,80.67861 -> 16.616395,80.68047 -> 16.612021,80.675815",True,help,Help,Trigger emergency alert and share location
668,"Bus Stop Area, Vijayawada",Vijayawada,16.483909,80.65525,Bus Stop Area,5,3,3,2,10,7,None,39.77,Medium,65.93,"16.487604,80.651544 -> 16.482031,80.65905 -> 16.484237,80.657462",True,help,Help,Trigger emergency alert and share location
669,"Park Road, Mumbai",Mumbai,19.147794,72.853417,Park Road,1,4,1,0,84,9,Harassment,60.18,High,40.62,"19.147113,72.848531 -> 19.147018,72.85562 -> 19.149145,72.854965 -> 19.146855,72.851777 -> 19.150967,72.852174 -> 19.148529,72.853825 -> 19.151448,72.855846",False,none,No Alert,No action
670,"Main Road, Chennai",Chennai,13.037366,80.229136,Main Road,2,5,10,0,96,2,None,53.0,Medium,56.49,"13.037205,80.227998 -> 13.039905,80.229605 -> 13.037497,80.231086",True,dad,Relative,Notify selected relative
671,"Market Road, Bengaluru",Bengaluru,12.958471,77.649498,Market Road,6,1,1,2,95,5,Harassment,58.75,Medium,44.01,"12.960113,77.653083 -> 12.955028,77.64864 -> 12.961327,77.652391 -> 12.958042,77.647661 -> 12.960861,77.652457 -> 12.955559,77.646488 -> 12.959034,77.651071",True,call my mother,Relative,Notify selected relative
672,"Residential Street, Bengaluru",Bengaluru,12.961133,77.618375,Residential Street,2,10,0,8,27,4,Sexual Harassment,39.75,Medium,63.9,"12.955846,77.617315 -> 12.961291,77.617685 -> 12.958236,77.613836 -> 12.959848,77.620619 -> 12.964273,77.621344",True,help me,Help,Trigger emergency alert and share location
673,"Residential Street, Visakhapatnam",Visakhapatnam,17.658243,83.17812,Residential Street,4,9,7,5,89,10,Stalking,35.07,Medium,77.61,"17.659831,83.17912 -> 17.653208,83.175953 -> 17.658169,83.179338 -> 17.660161,83.178481",True,call my sister,Relative,Notify selected relative
674,"Market Road, Hyderabad",Hyderabad,17.396577,78.48967,Market Road,6,7,6,3,65,4,Assault,38.98,Medium,74.35,"17.397359,78.489834 -> 17.395906,78.489873 -> 17.397788,78.490339 -> 17.397529,78.493027 -> 17.39724,78.488048 -> 17.398786,78.486255",True,help,Help,Trigger emergency alert and share location
675,"Residential Street, Pune",Pune,18.482551,73.868455,Residential Street,8,2,8,2,63,6,Assault,38.2,Medium,76.18,"18.479438,73.867498 -> 18.481036,73.867238 -> 18.48491,73.870221 -> 18.482503,73.86709 -> 18.479177,73.872005",True,mom,Relative,Notify selected relative
676,"College Road, Hyderabad",Hyderabad,17.405724,78.461967,College Road,8,2,6,4,58,10,None,34.68,Medium,81.12,"17.405548,78.461249 -> 17.406812,78.460113 -> 17.404865,78.462271 -> 17.404475,78.46364 -> 17.410397,78.460081",True,call my sister,Relative,Notify selected relative
677,"Railway Station Road, Delhi",Delhi,28.555621,77.138939,Railway Station Road,7,4,1,7,86,6,Abduction,45.95,Medium,64.29,"28.553963,77.139459 -> 28.555952,77.134931 -> 28.551084,77.139679 -> 28.55596,77.137874",False,none,No Alert,No action
678,"Residential Street, Mumbai",Mumbai,19.018,72.894199,Residential Street,7,8,8,10,86,2,Harassment,31.86,Medium,91.1,"19.018695,72.89208 -> 19.018111,72.890784 -> 19.020645,72.894404",True,help me,Help,Trigger emergency alert and share location
679,"Market Road, Hyderabad",Hyderabad,17.323115,78.476176,Market Road,2,6,3,5,25,10,None,38.07,Medium,70.85,"17.322282,78.475486 -> 17.320054,78.477592 -> 17.321494,78.470785 -> 17.322187,78.478629 -> 17.322148,78.480521 -> 17.324187,78.477023",True,help,Help,Trigger emergency alert and share location
680,"Industrial Road, Delhi",Delhi,28.609406,77.20661,Industrial Road,5,10,9,4,96,7,Stalking,33.91,Medium,76.07,"28.60865,77.207937 -> 28.607066,77.20392 -> 28.606598,77.211724 -> 28.610732,77.207371 -> 28.606762,77.208168",True,call my sister,Relative,Notify selected relative
681,"Industrial Road, Delhi",Delhi,28.60982,77.216496,Industrial Road,9,5,2,7,13,2,Harassment,31.61,Medium,76.6,"28.610221,77.215436 -> 28.607906,77.218331 -> 28.605976,77.217908 -> 28.611531,77.214297 -> 28.607769,77.215938",True,call my sister,Relative,Notify selected relative
682,"Main Road, Vijayawada",Vijayawada,16.516071,80.64265,Main Road,2,1,1,7,86,1,Theft,63.68,High,45.49,"16.520478,80.641381 -> 16.511783,80.644715 -> 16.520279,80.643632 -> 16.513352,80.64234",True,call my father,Relative,Notify selected relative
683,"Market Road, Pune",Pune,18.481252,73.8792,Market Road,5,10,9,1,97,2,Robbery,41.34,Medium,61.1,"18.480502,73.876689 -> 18.481569,73.878284 -> 18.481694,73.879256 -> 18.478785,73.880767 -> 18.48113,73.876729 -> 18.486854,73.880391 -> 18.480869,73.882738",True,call my sister,Relative,Notify selected relative
684,"Railway Station Road, Bengaluru",Bengaluru,13.036064,77.589513,Railway Station Road,8,8,8,4,69,6,None,29.16,Low,85.78,"13.033594,77.589145 -> 13.035566,77.589975 -> 13.036896,77.590913 -> 13.036658,77.586486 -> 13.033718,77.588147 -> 13.035358,77.59214 -> 13.033157,77.588619",True,mom,Relative,Notify selected relative
685,"Park Road, Visakhapatnam",Visakhapatnam,17.720155,83.208004,Park Road,2,7,7,5,48,8,None,36.73,Medium,74.17,"17.719806,83.208646 -> 17.719584,83.209672 -> 17.716292,83.207096 -> 17.720896,83.209338 -> 17.723887,83.207026 -> 17.723854,83.206356",False,none,No Alert,No action
686,"Market Road, Chennai",Chennai,13.129203,80.299311,Market Road,8,7,2,4,91,7,Theft,41.3,Medium,64.34,"13.129971,80.299183 -> 13.130767,80.298753 -> 13.128435,80.302734 -> 13.128956,80.301377 -> 13.12864,80.303478 -> 13.127507,80.297776",True,help,Help,Trigger emergency alert and share location
687,"Industrial Road, Mumbai",Mumbai,19.129358,72.862127,Industrial Road,8,9,2,8,7,7,Theft,21.57,Low,99.44,"19.131588,72.86174 -> 19.124825,72.862079 -> 19.129612,72.865045 -> 19.133329,72.860415 -> 19.131361,72.864041",True,call my sister,Relative,Notify selected relative
688,"College Road, Delhi",Delhi,28.651469,77.226454,College Road,5,6,0,0,75,1,None,57.39,Medium,36.9,"28.65108,77.223565 -> 28.650962,77.228904 -> 28.652232,77.229324 -> 28.652323,77.223208",True,call my mother,Relative,Notify selected relative
689,"College Road, Visakhapatnam",Visakhapatnam,17.59857,83.223708,College Road,7,2,6,5,45,7,Stalking,36.25,Medium,74.78,"17.596128,83.219456 -> 17.596733,83.223222 -> 17.600235,83.22418 -> 17.60259,83.221119 -> 17.600773,83.223826",False,none,No Alert,No action
690,"Bus Stop Area, Bengaluru",Bengaluru,12.995913,77.579322,Bus Stop Area,5,10,1,1,39,2,None,43.02,Medium,67.54,"12.996651,77.577623 -> 12.995883,77.578723 -> 12.997136,77.576373 -> 12.99584,77.58031 -> 12.995996,77.582689",True,help me,Help,Trigger emergency alert and share location
691,"Main Road, Pune",Pune,18.547491,73.856438,Main Road,8,7,9,8,53,5,Theft,23.89,Low,93.7,"18.54823,73.857446 -> 18.542927,73.855684 -> 18.54378,73.859634",True,call my sister,Relative,Notify selected relative
692,"Park Road, Pune",Pune,18.51827,73.849933,Park Road,10,7,5,9,12,8,None,15.55,Low,100.0,"18.519326,73.847111 -> 18.518093,73.849095 -> 18.513909,73.848207",True,save me,Help,Trigger emergency alert and share location
693,"Market Road, Pune",Pune,18.513976,73.852677,Market Road,10,5,5,6,25,8,None,23.07,Low,84.22,"18.516855,73.852422 -> 18.51407,73.853679 -> 18.512006,73.853818",True,mom,Relative,Notify selected relative
694,"Main Road, Chennai",Chennai,13.069852,80.23932,Main Road,5,10,6,3,79,2,Theft,40.75,Medium,71.22,"13.073581,80.241132 -> 13.072159,80.238018 -> 13.065858,80.243045 -> 13.074988,80.243177 -> 13.069013,80.236433 -> 13.067188,80.235111 -> 13.069584,80.243334",True,help,Help,Trigger emergency alert and share location
695,"Residential Street, Chennai",Chennai,13.077742,80.281281,Residential Street,10,9,7,6,26,6,Theft,16.86,Low,100.0,"13.076732,80.28637 -> 13.082722,80.280953 -> 13.076298,80.283024",True,call police,Emergency,Trigger emergency alert and share location
696,"Park Road, Chennai",Chennai,13.070537,80.230221,Park Road,9,6,3,6,51,5,Harassment,33.11,Medium,86.19,"13.073578,80.23061 -> 13.06738,80.227147 -> 13.070805,80.228971 -> 13.069684,80.232776 -> 13.07237,80.233666 -> 13.06806,80.229363 -> 13.072434,80.231341",True,mom,Relative,Notify selected relative
697,"Main Road, Vijayawada",Vijayawada,16.559833,80.662719,Main Road,9,3,9,7,27,8,Robbery,21.57,Low,100.0,"16.561183,80.665374 -> 16.559024,80.662755 -> 16.56211,80.666751 -> 16.561656,80.662511 -> 16.563276,80.657239",True,mom,Relative,Notify selected relative
698,"Main Road, Delhi",Delhi,28.564122,77.232857,Main Road,9,4,5,7,18,4,Sexual Harassment,27.86,Low,86.81,"28.565636,77.233018 -> 28.565549,77.230821 -> 28.565548,77.235343 -> 28.567173,77.237891",True,call police,Emergency,Trigger emergency alert and share location
699,"College Road, Delhi",Delhi,28.622443,77.218587,College Road,2,4,6,4,36,3,None,45.73,Medium,54.06,"28.621114,77.218104 -> 28.625069,77.217059 -> 28.624434,77.218583 -> 28.622,77.219209 -> 28.621465,77.217514",True,dad,Relative,Notify selected relative
700,"Residential Street, Bengaluru",Bengaluru,12.911932,77.585922,Residential Street,3,4,0,3,39,8,Abduction,48.93,Medium,53.17,"12.910642,77.586964 -> 12.913579,77.586502 -> 12.914421,77.587361 -> 12.911194,77.584765 -> 12.912714,77.587356 -> 12.915427,77.5889",True,mom,Relative,Notify selected relative
701,"Main Road, Delhi",Delhi,28.594948,77.20543,Main Road,4,3,4,2,3,5,None,40.93,Medium,69.02,"28.597618,77.207777 -> 28.594788,77.202295 -> 28.592451,77.206112 -> 28.595804,77.202683 -> 28.595059,77.207008",True,mom,Relative,Notify selected relative
702,"Industrial Road, Visakhapatnam",Visakhapatnam,17.646507,83.257175,Industrial Road,1,1,1,5,77,5,Sexual Harassment,62.25,High,40.66,"17.649651,83.255841 -> 17.64394,83.25603 -> 17.646269,83.256204",True,call my father,Relative,Notify selected relative
703,"Park Road, Hyderabad",Hyderabad,17.37744,78.498389,Park Road,3,4,1,9,94,9,Stalking,49.95,Medium,58.39,"17.377275,78.494116 -> 17.378419,78.498166 -> 17.381466,78.49604",True,mom,Relative,Notify selected relative
704,"Industrial Road, Chennai",Chennai,13.01941,80.292332,Industrial Road,2,4,9,1,98,6,Assault,51.5,Medium,57.03,"13.016889,80.288508 -> 13.023253,80.295867 -> 13.013191,80.291186 -> 13.02357,80.291142 -> 13.018183,80.291625",True,dad,Relative,Notify selected relative
705,"Park Road, Bengaluru",Bengaluru,12.932369,77.534933,Park Road,4,3,1,2,27,5,None,48.84,Medium,61.52,"12.927762,77.535551 -> 12.934585,77.531305 -> 12.930058,77.537966 -> 12.933701,77.53339 -> 12.935375,77.537949 -> 12.933042,77.532683",True,call my father,Relative,Notify selected relative
706,"Industrial Road, Visakhapatnam",Visakhapatnam,17.672329,83.228524,Industrial Road,9,6,1,5,69,7,Abduction,37.8,Medium,72.46,"17.674676,83.2247 -> 17.668593,83.228976 -> 17.6711,83.226956 -> 17.667909,83.228573 -> 17.672197,83.230158 -> 17.672501,83.228192",True,save me,Help,Trigger emergency alert and share location
707,"College Road, Vijayawada",Vijayawada,16.547395,80.602064,College Road,8,6,4,0,82,10,Stalking,39.41,Medium,71.67,"16.543217,80.599968 -> 16.544363,80.604019 -> 16.547231,80.60203",False,none,No Alert,No action
708,"Railway Station Road, Bengaluru",Bengaluru,12.932864,77.584111,Railway Station Road,9,7,4,10,89,6,Sexual Harassment,31.89,Medium,80.5,"12.933823,77.581633 -> 12.936188,77.579922 -> 12.930848,77.588304",True,mom,Relative,Notify selected relative
709,"Park Road, Mumbai",Mumbai,19.06077,72.831679,Park Road,1,7,4,4,11,4,Sexual Harassment,41.3,Medium,65.4,"19.059582,72.829589 -> 19.05803,72.8386 -> 19.060141,72.826865 -> 19.064504,72.833207 -> 19.058854,72.829346",True,save me,Help,Trigger emergency alert and share location
710,"Industrial Road, Vijayawada",Vijayawada,16.529772,80.639358,Industrial Road,6,7,0,4,10,8,Sexual Harassment,33.86,Medium,64.11,"16.53424,80.638273 -> 16.533511,80.642554 -> 16.527269,80.641941 -> 16.528143,80.634691 -> 16.528711,80.640352 -> 16.528615,80.63859",True,call my father,Relative,Notify selected relative
